Gender,Country,Age_Group,Value,SAL_NAME_2021
M,Afghanistan,25_44,4,Waterways
M,Afghanistan,25_44,10,Werribee
M,Afghanistan,25_44,5,West Footscray
M,Afghanistan,25_44,3,Westmeadows
M,Afghanistan,25_44,7,Williams Landing
M,Afghanistan,25_44,4,Windsor (Vic.)
M,Afghanistan,25_44,3,Wodonga
M,Afghanistan,25_44,19,Wollert
M,Afghanistan,25_44,5,Wyndham Vale
M,Afghanistan,25_44,5,No usual address (Vic.)
M,Afghanistan,45_54,4,Aintree
M,Afghanistan,45_54,7,Albion (Vic.)
M,Afghanistan,45_54,7,Altona North
M,Afghanistan,45_54,4,Ararat
M,Afghanistan,45_54,6,Beaconsfield (Vic.)
M,Afghanistan,45_54,32,Berwick
M,Afghanistan,45_54,3,Broadmeadows (Vic.)
M,Afghanistan,45_54,3,Burnside (Vic.)
M,Afghanistan,45_54,4,Caroline Springs
M,Afghanistan,45_54,5,Carrum Downs
M,Afghanistan,45_54,6,Clyde (Vic.)
M,Afghanistan,45_54,57,Clyde North
M,Afghanistan,45_54,30,Corio
M,Afghanistan,45_54,16,Craigieburn
M,Afghanistan,45_54,38,Cranbourne
M,Afghanistan,45_54,57,Cranbourne East
M,Afghanistan,45_54,105,Cranbourne North
M,Afghanistan,45_54,50,Cranbourne West
M,Afghanistan,45_54,306,Dandenong
M,Afghanistan,45_54,75,Dandenong North
M,Afghanistan,45_54,7,Deer Park
M,Afghanistan,45_54,6,Delahey
M,Afghanistan,45_54,3,Derrimut
M,Afghanistan,45_54,108,Doveton
M,Afghanistan,45_54,83,Endeavour Hills
M,Afghanistan,45_54,4,Epping (Vic.)
M,Afghanistan,45_54,18,Eumemmerring
M,Afghanistan,45_54,3,Fawkner
M,Afghanistan,45_54,3,Ferntree Gully
M,Afghanistan,45_54,5,Glen Waverley
M,Afghanistan,45_54,113,Hallam
M,Afghanistan,45_54,139,Hampton Park
M,Afghanistan,45_54,3,Harkaway
M,Afghanistan,45_54,3,Highton
M,Afghanistan,45_54,3,Hoppers Crossing
M,Afghanistan,45_54,13,Keysborough
M,Afghanistan,45_54,9,Kialla
M,Afghanistan,45_54,5,Lalor
M,Afghanistan,45_54,33,Lynbrook
M,Afghanistan,45_54,23,Lyndhurst (Vic.)
M,Afghanistan,45_54,3,Lysterfield
M,Afghanistan,45_54,4,Melton (Vic.)
M,Afghanistan,45_54,4,Melton West
M,Afghanistan,45_54,17,Mildura
M,Afghanistan,45_54,3,Mount Duneed
M,Afghanistan,45_54,3,Mulgrave (Vic.)
M,Afghanistan,45_54,88,Narre Warren
M,Afghanistan,45_54,21,Narre Warren North
M,Afghanistan,45_54,202,Narre Warren South
M,Afghanistan,45_54,17,Noble Park
M,Afghanistan,45_54,10,Norlane
M,Afghanistan,45_54,6,Officer
M,Afghanistan,45_54,19,Pakenham
M,Afghanistan,45_54,7,Point Cook
M,Afghanistan,45_54,3,Preston (Vic.)
M,Afghanistan,45_54,7,Reservoir (Vic.)
M,Afghanistan,45_54,4,Robinvale
M,Afghanistan,45_54,8,Rowville
M,Afghanistan,45_54,3,Roxburgh Park
M,Afghanistan,45_54,3,Scoresby
M,Afghanistan,45_54,76,Shepparton
M,Afghanistan,45_54,4,Skye (Vic.)
M,Afghanistan,45_54,4,Southbank
M,Afghanistan,45_54,5,Springvale (Vic.)
M,Afghanistan,45_54,3,St Albans (Vic.)
M,Afghanistan,45_54,9,Sunshine (Vic.)
M,Afghanistan,45_54,4,Sunshine North
M,Afghanistan,45_54,18,Sunshine West
M,Afghanistan,45_54,19,Swan Hill
M,Afghanistan,45_54,3,Sydenham (Vic.)
M,Afghanistan,45_54,5,Tarneit
M,Afghanistan,45_54,4,Thomastown
M,Afghanistan,45_54,10,Truganina
M,Afghanistan,45_54,4,Wantirna South
M,Afghanistan,45_54,5,Werribee
M,Afghanistan,45_54,3,West Footscray
M,Afghanistan,45_54,4,Williams Landing
M,Afghanistan,45_54,4,Wollert
M,Afghanistan,55 years and over,5,Ashwood
M,Afghanistan,55 years and over,26,Berwick
M,Afghanistan,55 years and over,4,Broadmeadows (Vic.)
M,Afghanistan,55 years and over,5,Bundoora (Vic.)
M,Afghanistan,55 years and over,4,Cairnlea
M,Afghanistan,55 years and over,4,Caroline Springs
M,Afghanistan,55 years and over,10,Carrum Downs
M,Afghanistan,55 years and over,7,Chadstone
M,Afghanistan,55 years and over,27,Clyde North
M,Afghanistan,55 years and over,3,Corio
M,Afghanistan,55 years and over,13,Craigieburn
M,Afghanistan,55 years and over,30,Cranbourne
M,Afghanistan,55 years and over,28,Cranbourne East
M,Afghanistan,55 years and over,48,Cranbourne North
M,Afghanistan,55 years and over,22,Cranbourne West
M,Afghanistan,55 years and over,111,Dandenong
M,Afghanistan,55 years and over,28,Dandenong North
M,Afghanistan,55 years and over,5,Deer Park
M,Afghanistan,55 years and over,43,Doveton
M,Afghanistan,55 years and over,40,Endeavour Hills
M,Afghanistan,55 years and over,14,Epping (Vic.)
M,Afghanistan,55 years and over,4,Eumemmerring
M,Afghanistan,55 years and over,7,Ferntree Gully
M,Afghanistan,55 years and over,3,Footscray
M,Afghanistan,55 years and over,6,Frankston
M,Afghanistan,55 years and over,4,Fraser Rise
M,Afghanistan,55 years and over,8,Glen Waverley
M,Afghanistan,55 years and over,39,Hallam
M,Afghanistan,55 years and over,60,Hampton Park
M,Afghanistan,55 years and over,3,Hillside (Melton - Vic.)
M,Afghanistan,55 years and over,3,Hoppers Crossing
M,Afghanistan,55 years and over,5,Keysborough
M,Afghanistan,55 years and over,5,Kialla
M,Afghanistan,55 years and over,3,Lara
M,Afghanistan,55 years and over,20,Lynbrook
M,Afghanistan,55 years and over,4,Lyndhurst (Vic.)
M,Afghanistan,55 years and over,7,Lysterfield
M,Afghanistan,55 years and over,3,Malvern (Vic.)
M,Afghanistan,55 years and over,3,Mickleham
M,Afghanistan,55 years and over,24,Mildura
M,Afghanistan,55 years and over,3,Mulgrave (Vic.)
M,Afghanistan,55 years and over,44,Narre Warren
M,Afghanistan,55 years and over,10,Narre Warren North
M,Afghanistan,55 years and over,83,Narre Warren South
M,Afghanistan,55 years and over,5,Noble Park
M,Afghanistan,55 years and over,5,Noble Park North
M,Afghanistan,55 years and over,6,Norlane
M,Afghanistan,55 years and over,5,Officer
M,Afghanistan,55 years and over,8,Pakenham
M,Afghanistan,55 years and over,6,Point Cook
M,Afghanistan,55 years and over,3,Preston (Vic.)
M,Afghanistan,55 years and over,10,Rowville
M,Afghanistan,55 years and over,5,Scoresby
M,Afghanistan,55 years and over,47,Shepparton
M,Afghanistan,55 years and over,7,Skye (Vic.)
M,Afghanistan,55 years and over,3,Springvale (Vic.)
M,Afghanistan,55 years and over,10,Swan Hill
M,Afghanistan,55 years and over,3,Tarneit
M,Afghanistan,55 years and over,4,Taylors Hill
M,Afghanistan,55 years and over,4,Thomastown
M,Afghanistan,55 years and over,3,Wantirna
M,Afghanistan,55 years and over,4,Wheelers Hill
M,Afghanistan,55 years and over,4,Wollert
M,Afghanistan,55 years and over,6,Berwick
M,Afghanistan,55 years and over,8,Clyde North
M,Afghanistan,55 years and over,4,Cranbourne
M,Afghanistan,55 years and over,5,Cranbourne East
M,Afghanistan,55 years and over,15,Cranbourne North
M,Afghanistan,55 years and over,11,Cranbourne West
M,Afghanistan,55 years and over,48,Dandenong
M,Afghanistan,55 years and over,10,Dandenong North
M,Afghanistan,55 years and over,7,Doveton
M,Afghanistan,55 years and over,21,Endeavour Hills
M,Afghanistan,55 years and over,4,Eumemmerring
M,Afghanistan,55 years and over,3,Footscray
M,Afghanistan,55 years and over,3,Glen Waverley
M,Afghanistan,55 years and over,3,Glenroy (Vic.)
M,Afghanistan,55 years and over,17,Hallam
M,Afghanistan,55 years and over,25,Hampton Park
M,Afghanistan,55 years and over,5,Lalor
M,Afghanistan,55 years and over,7,Lynbrook
M,Afghanistan,55 years and over,3,Lysterfield
M,Afghanistan,55 years and over,9,Mildura
M,Afghanistan,55 years and over,5,Mulgrave (Vic.)
M,Afghanistan,55 years and over,13,Narre Warren
M,Afghanistan,55 years and over,4,Narre Warren North
M,Afghanistan,55 years and over,39,Narre Warren South
M,Afghanistan,55 years and over,7,Pakenham
M,Afghanistan,55 years and over,3,Ringwood East
M,Afghanistan,55 years and over,10,Rowville
M,Afghanistan,55 years and over,4,Scoresby
M,Afghanistan,55 years and over,17,Shepparton
M,Afghanistan,55 years and over,3,St Albans (Vic.)
M,Afghanistan,55 years and over,11,Swan Hill
M,Afghanistan,55 years and over,3,Tarneit
M,Afghanistan,55 years and over,5,Thomastown
M,Afghanistan,55 years and over,3,Werribee
M,Afghanistan,55 years and over,5,Wheelers Hill
M,Afghanistan,55 years and over,3,Carrum Downs
M,Afghanistan,55 years and over,11,Dandenong
M,Afghanistan,55 years and over,5,Doveton
M,Afghanistan,55 years and over,8,Endeavour Hills
M,Afghanistan,55 years and over,5,Glen Waverley
M,Afghanistan,55 years and over,9,Hallam
M,Afghanistan,55 years and over,5,Hampton Park
M,Afghanistan,55 years and over,4,Lynbrook
M,Afghanistan,55 years and over,8,Narre Warren
M,Afghanistan,55 years and over,3,Narre Warren North
M,Afghanistan,55 years and over,9,Narre Warren South
M,Afghanistan,55 years and over,4,Rowville
M,Afghanistan,55 years and over,5,Endeavour Hills
M,Afghanistan,55 years and over,4,Narre Warren
M,Afghanistan,55 years and over,3,Narre Warren South
M,Australia,10_24,294,Abbotsford (Vic.)
M,Australia,10_24,289,Aberfeldie
M,Australia,10_24,5,Acheron
M,Australia,10_24,150,Aintree
M,Australia,10_24,32,Aireys Inlet
M,Australia,10_24,9,Airly
M,Australia,10_24,367,Airport West
M,Australia,10_24,200,Albanvale
M,Australia,10_24,215,Albert Park (Vic.)
M,Australia,10_24,8,Alberton (Vic.)
M,Australia,10_24,6,Alberton West
M,Australia,10_24,115,Albion (Vic.)
M,Australia,10_24,121,Alexandra (Vic.)
M,Australia,10_24,711,Alfredton
M,Australia,10_24,9,Allans Flat
M,Australia,10_24,63,Allansford
M,Australia,10_24,4,Allendale
M,Australia,10_24,14,Allestree
M,Australia,10_24,8,Alma (Vic.)
M,Australia,10_24,3,Almonds
M,Australia,10_24,285,Alphington
M,Australia,10_24,365,Altona (Vic.)
M,Australia,10_24,818,Altona Meadows
M,Australia,10_24,453,Altona North
M,Australia,10_24,4,Alvie
M,Australia,10_24,4,Amherst
M,Australia,10_24,9,Amphitheatre
M,Australia,10_24,21,Anakie
M,Australia,10_24,6,Anderson
M,Australia,10_24,115,Anglesea
M,Australia,10_24,49,Apollo Bay (Vic.)
M,Australia,10_24,17,Apsley (Vic.)
M,Australia,10_24,392,Ararat
M,Australia,10_24,8,Arawata
M,Australia,10_24,17,Arcadia (Vic.)
M,Australia,10_24,8,Arcadia South
M,Australia,10_24,93,Ardeer
M,Australia,10_24,35,Ardmona
M,Australia,10_24,4,Argyle (Vic.)
M,Australia,10_24,317,Armadale (Vic.)
M,Australia,10_24,4,Armstrong
