Gender,Country of Birth,Demographic Group,Value,SAL_NAME_2021,Year,Predicted_Value
M,Afghanistan,45_54,5,Springvale (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,3,St Albans (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,9,Sunshine (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,4,Sunshine North,2026,29.609916666666663
M,Afghanistan,45_54,18,Sunshine West,2026,29.609916666666663
M,Afghanistan,45_54,19,Swan Hill,2026,29.609916666666663
M,Afghanistan,45_54,3,Sydenham (Vic.),2026,29.609916666666663
M,Afghanistan,45_54,5,Tarneit,2026,29.609916666666663
M,Afghanistan,45_54,4,Thomastown,2026,29.609916666666663
M,Afghanistan,45_54,10,Truganina,2026,29.609916666666663
M,Afghanistan,45_54,4,Wantirna South,2026,29.609916666666663
M,Afghanistan,45_54,5,Werribee,2026,29.609916666666663
M,Afghanistan,45_54,3,West Footscray,2026,29.609916666666663
M,Afghanistan,45_54,4,Williams Landing,2026,29.609916666666663
M,Afghanistan,45_54,4,Wollert,2026,29.609916666666663
M,Afghanistan,55 years and over,5,Ashwood,2026,27.79866666666667
M,Afghanistan,55 years and over,26,Berwick,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Broadmeadows (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,5,Bundoora (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,4,Cairnlea,2026,27.79866666666667
M,Afghanistan,55 years and over,4,Caroline Springs,2026,27.79866666666667
M,Afghanistan,55 years and over,10,Carrum Downs,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Chadstone,2026,27.79866666666667
M,Afghanistan,55 years and over,27,Clyde North,2026,27.79866666666667
M,Afghanistan,55 years and over,3,Corio,2026,27.79866666666667
M,Afghanistan,55 years and over,13,Craigieburn,2026,27.79866666666667
M,Afghanistan,55 years and over,30,Cranbourne,2026,27.79866666666667
M,Afghanistan,55 years and over,28,Cranbourne East,2026,27.79866666666667
M,Afghanistan,55 years and over,48,Cranbourne North,2026,27.79866666666667
M,Afghanistan,55 years and over,22,Cranbourne West,2026,27.79866666666667
M,Afghanistan,55 years and over,111,Dandenong,2026,27.79866666666667
M,Afghanistan,55 years and over,28,Dandenong North,2026,27.79866666666667
M,Afghanistan,55 years and over,5,Deer Park,2026,27.79866666666667
M,Afghanistan,55 years and over,43,Doveton,2026,27.79866666666667
M,Afghanistan,55 years and over,40,Endeavour Hills,2026,27.79866666666667
M,Afghanistan,55 years and over,14,Epping (Vic.),2026,27.79866666666667
M,Afghanistan,55 years and over,4,Eumemmerring,2026,27.79866666666667
M,Afghanistan,55 years and over,7,Ferntree Gully,2026,27.79866666666667
